"","OBJECTID","SITE_CD","StreamName","MIDLAT","MIDLONG","StreamOrder","BTMLAT","BTMLONG","TRLAT","TRLONG","ReachLength","PercentCover","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","MACROINVRTBRTE_CNT","TotalN","PredictedN","TotalP","PredictedP","SpC","PredictedSpC","pH","INSTNT_TEMP","PercentPools","AvgPoolDepth","NumberPools","LWD_FREQ","LWDVolume","PercentFines2","PercentFines6","D16","D84","D50","BNK_STBLTY","BNK_CVR_LWD","BNKFLL_HT","INCSN_HT","CHN_INCSN","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FloodWidth","EntrenchmentRatio","SLPE","SNSTY","BVR_SGN","Number_of_dams_upstream","geometry"
"13",7344,"SB-RV-17167","KETTLE RIVER",48.926583,-118.566691,"5",48.932373,-118.557956,48.91898,-118.56154,1952,NA,1.22,0.2,0.14,0.21,5,95,50,91,59,5,5.49821356,300,68.5,124.5,0,27.9,218.7,133.3,8.2,20.3,NA,NA,NA,0.373,0.026,10,NA,NA,NA,NA,86,NA,1.11,2.13,0.05,1.32,0,70,58,192,3,NA,1.29,"RARE",43,c(-118.566705573274, 48.9265891069753)
"14",7372,"SW-RV-10767","SIMILKAMEEN RIVER",48.987638,-119.575305,"6",48.981615,-119.556647,48.988167,-119.597455,3376,NA,1.32,0.02,0.19,0.12,0,100,95,100,100,6,6.12691593,300,268,108.5,7.7,27.8,186.9,108.3,8,20.1,NA,NA,NA,0.027,0.005,1,NA,NA,NA,NA,100,NA,1.61,2.19,-0.16,0.96,0,82.09,70.36,96,1.3,NA,1.1,"RARE",104,c(-119.575319771311, 48.9876439981568)
"15",7375,"SW-LS-15103","ROCK CREEK",45.880212,-120.550378,"3",45.879785,-120.549894,45.880347,-120.551242,150,95.2,1.41,0.51,0.25,0.49,0,100,0,100,0,2,5.23580029,300,197.9,143.4,41.1,33.3,133.3,155.5,7.33,16,63.06,0.21,18,1.333,0.175,0.5,0.5,64,420,118,88,5,0.37,1.28,0.01,0.14,9,6.61,2.72,11.4,1.73,1.61,1.23,"ABSENT",2,c(-120.550392214056, 45.8802177048679)
"16",7395,"SW-LS-23295","QUARTZ CREEK",45.889177,-120.549198,"3",45.888591,-120.549184,45.889232,-120.548124,155.2,91.8,1.4,0.6,0.15,0.42,0,100,4,96,17,6,5.189533,300,122.8,117.8,50.1,32.8,183.8,154.8,7.78,17.8,40.46,0.27,10,2.929,0.273,0.5,0.5,51,300,98,79,3,0.36,0.78,-0.28,0.18,0,7.25,4.07,12.7,1.57,2.55,1.43,"ABSENT",2,c(-120.549212215741, 45.889182705564)
"17",7416,"SB-SS-26383","SOUTH FORK HUNTER CREEK",48.113548,-118.071996,"2",48.113996,-118.072305,48.112856,-118.072267,150,65,1.19,0.01,0.05,0.02,0,96,96,96,48,6,5.60346676,300,139.5,142.2,29,26.1,232.4,142.7,8.46,11.2,28.33,0.26,8,11.333,4.185,5.5,5.9,34,159,78,60,7,0.27,0.63,-0.33,0.31,0,4.91,3.56,9.25,1.46,3.93,1.18,"ABSENT",4,c(-118.072010280757, 48.1135541100081)
"18",7444,"SB-SS-25359","ALDER CREEK",48.038294,-118.075125,"1",48.038815,-118.075227,48.037545,-118.075655,150,82.6,0.61,0,0.04,0,0,68,18,100,0,2,6.1041808,300,216.8,181.7,10.2,24.8,53.5,114.6,6.88,7,43.27,0.07,121,21.818,24.508,17.1,20,2,61,21,73,12,0.2,0.36,-0.59,0.06,0,1.39,0.86,3,1.84,25.73,1.04,"ABSENT",0,c(-118.075139263285, 48.0383001047698)
"19",7454,"SW-SS-19190","Duffy Creek",47.491604,-119.974474,"2",47.491843,-119.973804,47.491343,-119.975149,150,78.3,1.42,0.34,0.22,0.44,0,100,0,100,0,4,5.69897548,300,1439.5,178.2,100,38.4,151.2,194.4,6.84,10,9.95,0.44,4,1.333,0.058,19.6,19.6,2,193,68,100,1,0.22,0.51,-0.41,NA,NA,2.14,1.45,3.6,1.68,5.48,1.3,"ABSENT",0,c(-119.974488473307, 47.4916098660493)
"20",7458,"SW-SS-27382","DUFFY CREEK",47.496664,-119.946066,"2",47.496879,-119.945166,47.496526,-119.946995,150,90.1,1.36,0.31,0.2,0.34,0,100,73,100,18,5,5.69898727,300,181.4,171.8,133,42.2,159.4,192.5,7.73,14.1,32.67,0.17,17,0,0,2.4,2.4,35,158,70,26,0,0.39,1.12,-0.08,0.13,0,2.73,1.74,6.75,2.12,4.5,1.05,"ABSENT",0,c(-119.946080469572, 47.4966698694092)
"21",7468,"SB-LS-21007","WILSON CREEK",47.712164,-118.831287,"4",47.711501,-118.83116,47.712802,-118.831639,156.4,0.1,1.12,0,0,0,0,19,58,96,4,2,4.76876367,300,2923.8,185.7,82.8,37.7,365.1,222.1,8.75,12,42.52,0.2,5,0,0,38.7,39.1,1,142,44,81,0,0.14,0.22,-0.75,0.29,0,7.15,5.46,19.5,3,0.68,1.05,"ABSENT",6,c(-118.831301323474, 47.7121700024965)
"22",7472,"SW-SS-26111","ROCK CREEK",45.900207,-120.584904,"2",45.899889,-120.585959,45.900523,-120.584495,150,68.6,0.79,0.02,0.12,0.23,0,100,32,23,0,6,5.12922947,125,44.4,118.5,29.1,31.8,130.4,154.7,7.4,16.5,38.6,0.23,19,3.333,1.117,5.2,5.2,31,452,98,88,4,0.28,0.58,-0.4,0.16,0,3.96,2.31,6.5,1.56,4.06,1.12,"ABSENT",0,c(-120.58491822403, 45.9002127026122)
"23",7485,"SW-LS-20751","Cowiche Creek",46.622288,-120.641829,"4",46.621859,-120.641076,46.622976,-120.641905,150,32.7,1.61,0.09,0.7,0.66,0,96,0,100,4,7,5.46828309,300,769.1,154.1,88.1,32.1,168.2,159,8.29,14.9,14.55,0.4,2,6,0.427,6.5,6.5,28,508,74,93,1,0.32,0.8,-0.24,NA,NA,7.54,6.56,11.33,1.5,1.94,1.08,"ABSENT",102,c(-120.641843389326, 46.6222937419886)
"24",7486,"SB-SS-28431","UNNAMED",48.628757,-118.740336,"1",48.628946,-118.739642,48.628751,-118.741291,150,93.3,1.3,0,0.17,0.19,0,100,14,100,0,4,6.11933418,204,354.7,193,211.7,34.1,194.6,167.7,8.27,10.2,33,0.09,56,10.667,11.128,18.6,20.5,2,59,26,50,3,0.34,0.69,-0.35,0.07,0,1.62,0.98,2.95,1.38,16.05,1.22,"ABSENT",0,c(-118.740350529653, 48.6287630696624)
"25",7495,"SW-TR-1299","SINLAHEKIN CREEK",48.689318,-119.733344,"4",48.689486,-119.732478,48.689041,-119.734111,158.4,14.5,0.44,0.06,0.19,0.11,0,100,50,42,67,6,6.25336071,300,452,121.3,18,15.4,259.5,110.1,8.19,12.1,48.74,0.34,12,10.732,1.493,1.4,2.3,49,680,290,64,1,0.45,1.09,-0.13,0.37,0,8.06,5.5,18.4,2.99,7.26,1.22,"ABSENT",22,c(-119.733358722939, 48.6893239633898)
"26",7504,"SB-LS-12815","Wilson Creek",47.692328,-118.84931,"4",47.691706,-118.849358,47.692946,-118.849582,150,28.9,1.07,0,0.88,0.03,0,23,36,100,5,2,4.78570378,300,4966,179,117.2,39.8,517,222.5,6.97,9.9,33.24,0.73,2,0,0,55.3,55.3,1,140,1,98,1,0.2,0.48,-0.42,NA,NA,6.14,5.37,22.47,3,0.33,1.08,"ABSENT",6,c(-118.849324322044, 47.6923339992973)
"27",7506,"SB-LS-19699","CRAB CREEK",47.296242,-118.280675,"4",47.296662,-118.281457,47.295949,-118.279905,150,20.4,1.21,0,0.06,0.06,0,45,100,100,59,3,4.77975637,300,1965.3,159,54.4,35.6,366.4,215.8,8.76,22.6,0,NA,0,0,0,21.4,26.2,1,4098,24,83,0,0.2,0.47,-0.43,0.49,0,3.05,2.21,10.9,3,0.16,1.06,"ABSENT",22,c(-118.280689127721, 47.2962480337654)
"28",7509,"SB-SS-13071","Shasket Creek",48.970008,-118.563568,"1",48.969623,-118.563079,48.970306,-118.564204,150,42.1,1.3,0.11,0.05,0.18,0,95,0,95,95,4,6.06099895,300,2061,124,10.3,23.5,704,235.2,8.71,17.1,0,NA,0,12.667,3.943,76.8,79,1,14,1,79,2,0.18,0.33,-0.61,NA,NA,2.24,1.08,7.12,3,1.89,1.34,"ABSENT",0,c(-118.563582583808, 48.9700141099516)
"29",7536,"SB-SS-24335",NA,48.725131,-118.536038,"2",48.725473,-118.536734,48.725276,-118.534996,150,84.8,1.14,0.11,0.09,0.14,0,96,19,100,85,6,7.20051288,300,153.1,75.7,113.3,24.3,119.8,63.1,7.88,11.2,9.8,0.18,7,29.333,8.555,7.3,8.2,20,128,64,48,6,0.3,0.9,-0.15,0.22,0,5.79,3.43,6.05,1.51,4.89,1.16,"ABSENT",0,c(-118.536052516565, 48.7251370980714)
"30",7537,"SW-RV-22799","YAKIMA RIVER",46.88356,-120.484703,"6",46.878648,-120.476355,46.889065,-120.497474,2704,NA,1.45,0.06,0.35,0.44,32,100,77,91,0,5,6.14212557,300,47.9,76.5,6.8,20.8,75,96.3,7.29,12.4,NA,NA,NA,0,0,0,NA,NA,NA,NA,95,NA,0.3,0.8,-0.22,1.38,0,63,61.64,201,3,NA,1.37,"COMMON",1266,c(-120.48471742113, 46.8835657745631)
"31",7544,"SW-SS-24847","WEST FORK WASHOUGAL RIVER",45.71381,-122.223974,"1",45.713172,-122.225155,45.714748,-122.223505,232,89,1.66,0.51,0.08,0.38,0,100,0,100,0,9,7.96347707,300,16.7,87.2,1.8,29.6,10.8,42.9,5.88,15.3,52.67,0.28,26,5.878,22.678,0,0,54,478,119,79,7,0.42,0.73,-0.39,0.29,0,10.71,7.84,13.85,1.52,3.3,1.07,"ABSENT",0,c(-122.223988451458, 45.7138155227353)
"32",7550,"SB-SS-16143","Unamed",48.731349,-118.555685,"1",48.731731,-118.55576,48.730724,-118.55596,150,96.5,2.38,0.36,0.88,0.86,0,100,0,100,0,5,5.61692305,300,140.8,134.9,0,14.2,680,95,7.68,6.9,3.83,0.24,4,23.333,4.969,65.4,67.9,1,4098,2,100,19,0.17,0.53,-0.34,NA,NA,1.5,0.8,2.16,1.44,9.33,1.33,"ABSENT",0,c(-118.55569952173, 48.7313550962871)
"33",7604,"SW-RV-21775","KLICKITAT RIVER",45.97582,-121.109242,"5",45.973269,-121.102446,45.976421,-121.11479,1360,NA,1.69,0.17,0.2,0.31,0,95,36,100,73,5,6.16525061,300,90.9,55.9,46.7,23.9,71.2,71.3,7.76,12.3,NA,NA,NA,0.334,0.042,0,NA,NA,NA,NA,82,NA,0.79,1.12,-0.37,1.05,0,37.55,33.91,115.5,2.8,NA,1.34,"RARE",33,c(-121.109256326947, 45.9758256534614)
"34",7606,"SB-SS-14835","Packer Creek",47.09853,-117.816656,"2",47.098316,-117.817563,47.098983,-117.815833,150,43.1,0.55,0,0.03,0,0,0,82,100,27,3,5.1111923,122,493.1,209.3,87.5,38.7,317.4,214,7.18,14.3,0,NA,0,0,0,97.4,97.4,1,1,1,100,0,0.1,0.25,-0.61,NA,NA,7.28,6.07,11.76,1.62,0.34,1,"ABSENT",1,c(-117.816669998296, 47.0985360689173)
"35",7672,"SB-RV-19955","CRAB CREEK",47.364866,-118.88149,"5",47.364945,-118.882334,47.364408,-118.88081,150,10,1.07,0,0.22,0.13,0,23,93,100,100,4,5.2674293,300,2613.4,167.6,135.8,39.9,446.2,223.3,8.64,20.7,17.07,0.38,2,0.667,0.029,38.4,38.8,2,4097,57,64,0,0.16,0.3,-0.61,0.48,0,10.6,6.66,14.4,3,0.8,1.16,"ABSENT",29,c(-118.881504251693, 47.3648719747745)
"36",7685,"SW-SS-23311","CHEWILIKEN CREEK",48.620915,-119.439666,"2",48.620821,-119.440554,48.620557,-119.438896,150,47.9,1.06,0,0.3,0.18,0,100,100,100,86,7,6.24029955,300,742.7,174.2,15.5,25.7,922,126,8.16,18.1,70.47,0.16,32,0.667,0.698,23.8,26.7,2,172,40,71,0,0.27,0.71,-0.27,0.14,0,3.61,1.7,6.55,1.43,5.49,1.2,"ABSENT",7,c(-119.439680653564, 48.6209209919853)
"37",7728,"SB-LS-11507","Crab Creek",47.290878,-118.319912,"4",47.291464,-118.320407,47.290541,-118.319394,150,46.7,1.47,0.04,0.62,0.45,0,100,100,100,36,1,4.77972601,300,1524.7,193.1,124.9,40.8,379.1,216.2,6.98,12.2,NA,NA,NA,0,0,27.1,27.1,1,147,78,100,0,0.24,0.55,-0.38,NA,NA,5.19,2.49,17.05,3,0.8,1.17,"ABSENT",22,c(-118.319926133627, 47.2908840292716)
"38",7766,"SB-RV-10739","Rock Creek",47.070605,-117.947656,"5",47.070039,-117.949356,47.071769,-117.947026,317.6,0,0.32,0,0.16,0.1,0,59,95,95,0,1,5.32776802,300,2006.5,190.8,207.7,40.4,288.2,211.9,9.56,15.9,NA,NA,NA,0,0,59.6,59.6,1,94,1,100,0,0.45,1.18,-0.08,NA,NA,15.13,4.72,30.77,2.03,0.32,1.22,"ABSENT",60,c(-117.947670016084, 47.0706110533215)
"39",7772,"SB-SS-14095","Unamed",48.042721,-118.092744,"1",48.043125,-118.09257,48.042184,-118.092978,150,96.2,1.3,0.05,0.14,0.1,50,100,8,100,0,4,6.1083016,275,149.9,157.6,20.8,14.3,283.5,135.4,8.06,8.2,7.75,0.21,5,20.667,2.806,11.9,14.5,8,62,27,81,9,0.22,0.44,-0.48,NA,NA,2.39,1.6,6.59,2.76,8.53,1.38,"ABSENT",0,c(-118.09275826759, 48.0427271031626)
"40",7814,"SW-TR-1025","UNNAMED TRIBUTARY TO MCCARTNEY CREEK ",47.698441,-119.612517,"1",47.698646,-119.613265,47.698692,-119.611661,150,2.7,0.67,0,0.25,0,0,0,82,100,100,6,6.06386874,300,1176.4,162.4,175.2,43.4,395.2,238.1,8.11,18,2,0.1,2,0,0,49.5,68.1,1,14,3,29,0,0.18,0.33,-0.59,0.13,0,1.52,0.69,3.08,2.72,1,1.25,"ABSENT",0,c(-119.612531458899, 47.698446917646)
"41",7884,"SW-LS-19727","DOUGLAS CREEK",47.473698,-119.881493,"4",47.472971,-119.881258,47.474319,-119.881724,150,18.6,1.15,0.08,0.07,0.14,0,82,23,73,5,5,5.83052855,300,2775.2,204,92.2,40.6,322,228.6,7.88,17.2,41.27,0.38,5,4,0.247,8.1,8.6,20,137,58,100,3,0.25,0.76,-0.22,0.34,0,4.59,4.24,7.2,1.41,1.21,1,"RARE",1,c(-119.88150745301, 47.4737038749393)
"42",7897,"SW-LS-11007","Rock Creek",45.867706,-120.537364,"3",45.867236,-120.537465,45.867802,-120.537668,150,96.5,1.08,0.2,0.39,0.34,0,100,0,10,0,5,5.2599211,300,301.9,156,46.2,39.3,116.3,154,7.08,14.2,14.93,0.11,1,1.333,0.335,NA,NA,NA,NA,NA,100,1,0.44,1.3,-0.02,NA,NA,6.65,4.35,NA,NA,2.03,NA,"RARE",2,c(-120.537378209254, 45.8677117053972)
"43",8435,"SW-RV-11535","YAKIMA RIVER",46.93178,-120.52291,"6",46.926732,-120.520673,46.93612,-120.531577,1752,NA,1.8,0.42,0.22,0.42,5,100,80,100,15,5,6.76918842,300,99.7,55.8,12.1,19.3,59.6,94.4,7.39,13.4,NA,NA,NA,0.311,0.032,0,NA,NA,NA,NA,91,NA,0.19,0.56,-0.33,1.64,0,53.3,52.3,192,3,NA,1.31,"COMMON",1097,c(-120.522924438465, 46.9317857734581)
"44",8541,"SW-RV-11023","SIMILKAMEEN RIVER",48.950471,-119.478186,"6",48.95043,-119.46739,48.954865,-119.485814,1752,NA,0.71,0.03,0.05,0.1,0,95,95,95,5,5,6.10529045,139,79.1,111.8,25,28,185.2,114.5,8.11,19.3,NA,NA,NA,0,0,23.7,NA,NA,NA,NA,86,NA,0.37,0.62,-0.46,2.85,0,39,37.82,66.5,1.5,NA,1.22,"RARE",106,c(-119.478200744397, 48.9504770068915)
"45",8609,"SW-RV-22031","SALMON CREEK",48.509303,-119.730411,"5",48.508519,-119.729999,48.509886,-119.729902,186,50.9,1.29,0.24,0.41,0.44,0,100,64,100,91,7,5.94070015,300,254.9,124.2,35,22.8,160.9,113.4,8.13,18.1,71.59,0.47,7,24.194,38.642,16.1,16.1,10,594,154,88,3,0.35,0.75,-0.3,0.6,0,10.01,9.11,24.3,3,3.22,NA,"RARE",93,c(-119.730425677048, 48.5093089532793)
